county_name,ballot_manifest_hash
Prowers,2E442F901A8C7CADFE05E78E461B6EB5354CAE40E82684C437FA0AAE52D7492B
Pueblo,168B7BA96AE43D7A01987B1320A7FE5A02AD852EEAC8008341D2D5334E885B85
Rio Blanco,55B863F7103F0470B53E9814B9C48F621592126C6739DF22C798DDD6B7606150
Rio Grande,6DD621BE61FAA410B6DC7BA6D0AE4AA538144F865D32407C59F91D5B84D35CC3
Routt,FCC437168AC5C9537BA83E0195BC0441AA34FFA6D89CFFF7F1F6B78A0944CB18
Saguache,9C9DFFE70C3F15906C65DC4FA7BDEC951F0FF82DDA57751913A972A3A0777BBD
San Juan,
San Miguel,089A419E055E1969177D8BBD306F98AACFBA7F264C74F8439E11F33BF0F12824
Sedgwick,D09067111554B679A22E9B57C6A3E239A01334592890B697B847243CBC17D3BB
Summit,A2288D1E27F873E005F995F7BCD5283D286A58FE0DBB4EAAD5CBC87B4D4BAE9D
Teller,69886108224B319EAAC5535BE5484F1C609710DD2EE42A28B86F9427D851E8D6
Washington,5C62543B3D13227B9D72A1F8B7CDBA375EDEFE974071ECFC739B382734D8455C
Weld,2B9D8F2CAF6684611A38DF0EA8A5F0B8DFD25B119B2B64A1DED8ED0E75330BA6
Yuma,9981B986041A1A5437220925397AC37CC8CC8E51445229DD54BF6EE52F8F1AFF
