name,filename,hash_status,approx_count,size,status,timestamp
Baca,2018 General Ballot Manifest.csv,VERIFIED,83,1427,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:22:28.084
Routt,Ballot Manifest.csv,VERIFIED,536,11170,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:36:41.387
Montrose,2018 General Election Ballot Manifest.csv,VERIFIED,390,10291,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:43:47.452
Cheyenne,Ballot Manifest 2018 General.csv,VERIFIED,42,1201,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:46:27.677
Alamosa,Ballot Manifest.csv,VERIFIED,249,5898,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:50:54.461
Montezuma,2018 General Montezuma Manifest.csv,VERIFIED,480,13356,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:53:43.689
Denver,Denver_Ballot Manifest201811151323.csv,VERIFIED,9054,226677,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 14:55:13.584
Las Animas,2018 General Election Ballot Manifest.csv,VERIFIED,262,6982,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:11:06.505
La Plata,LaPlata_BallotManifest.csv,VERIFIED,581,18902,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:20:11.631
San Miguel,Ballot Manifest 2018 - CVS for Upload.csv,VERIFIED,433,12058,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:28:38.234
Yuma,Yuma Ballot Manifest 2018 general.csv,VERIFIED,288,6829,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:48:33.965
Larimer,Larimer County Ballot Manifest.csv,VERIFIED,2204,52810,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:53:28.331
Clear Creek,ClearCreek_BallotManifest_20181115.csv,VERIFIED,225,6561,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:54:25.732
Costilla,Ballot Manifest template (5).csv,VERIFIED,76,1993,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 15:55:36.865
Conejos,CONEJOS_Ballot Manifest.csv,VERIFIED,483,11995,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 16:06:28.152
Morgan,2018 Morgan County General Ballot Manifest.csv,VERIFIED,552,13607,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 16:23:17.511
Lake,Ballot Manifest General 2018.csv,VERIFIED,378,6148,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 16:59:17.058
Delta,Delta Ballot Manifest.csv,VERIFIED,700,12834,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:01:42.224
Summit,Ballot Manifest Summit.csv,VERIFIED,798,15131,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:08:58.361
Chaffee,2018 General Election Ballot Manifest.csv,VERIFIED,465,11123,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:13:58.213
Ouray,Ouray_Ballot Manifest_11062018.csv,VERIFIED,134,2337,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:16:09.136
Adams,ballot manifest.csv,VERIFIED,1774,44258,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:22:06.631
Teller,Ballot Manifest template.csv,VERIFIED,546,10521,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:23:32.764
Jefferson,Jeffco Ballot Manifest V2.csv,VERIFIED,3086,75770,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:37:48.38
Custer,Ballot Manifest_2018 General Election.csv,VERIFIED,120,2674,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 17:38:32.279
Archuleta,2018 General Election Ballot Manifest.csv,VERIFIED,279,6054,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 18:21:05.39
Arapahoe,Ballot Manifest 2018 General Election.csv,VERIFIED,2723,80354,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 18:22:10.069
Douglas,Copy of Douglas Inventory.csv,VERIFIED,1884,52185,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 18:44:41.599
Otero,2018 General Ballot Manifest.csv,VERIFIED,305,5471,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 19:13:08.001
El Paso,Ballot ManifestCorrected.csv,VERIFIED,5791,158883,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 19:23:12.151
Weld,Weld Ballot Manifest.csv,VERIFIED,1278,29776,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 21:10:55.792
Boulder,Boulder_Ballot_Manifest_20181115.csv,VERIFIED,1245,27300,IMPORTED_AS_BALLOT_MANIFEST,2018-11-15 22:47:38.541
Park,Modified_CVR_Export_20181115071645.csv,VERIFIED,12439,2945019,IMPORTED_AS_CVR_EXPORT,2018-11-15 08:20:00.398
Pueblo,CVR_Export_20181115132052_modified.csv,VERIFIED,67552,18804055,IMPORTED_AS_CVR_EXPORT,2018-11-17 12:08:29.674
Rio Blanco,Modified_CVR_Export_20181114173406.csv,VERIFIED,3147,731312,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:20:50.381
Saguache,modified_2018saguacheCVR.csv,VERIFIED,5847,1120915,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:33:33.585
Kiowa,Modified CVR.csv,VERIFIED,839,178260,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:34:00.225
Prowers,Modified_CVR_Export_20181115085012.csv,VERIFIED,4276,922404,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:37:29.822
Phillips,CVR_Export_20181114132721.csv,VERIFIED,2108,439866,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:40:55.492
Sedgwick,Modified CVR_Export_20181115090714.csv,VERIFIED,2504,467722,IMPORTED_AS_CVR_EXPORT,2018-11-15 09:58:49.934
Rio Grande,ModifiedCVR_Export_20181115094903.csv,VERIFIED,5042,1110347,IMPORTED_AS_CVR_EXPORT,2018-11-15 10:34:33.865
Fremont,CVR_Export_20181115094709.csv,VERIFIED,19964,5159170,IMPORTED_AS_CVR_EXPORT,2018-11-15 10:46:13.235
Logan,Logan CVR Modified.csv,VERIFIED,17550,3275006,IMPORTED_AS_CVR_EXPORT,2018-11-15 10:47:31.877
Mesa,Modified_CVR_Export_20181115100950.csv,VERIFIED,68807,15883016,IMPORTED_AS_CVR_EXPORT,2018-11-15 11:19:32.81
Dolores,Modified CVR_Export_20181115081152.csv,VERIFIED,1234,272321,IMPORTED_AS_CVR_EXPORT,2018-11-15 11:39:35.224
Alamosa,ModifiedCVR_Export_20181115111344.csv,VERIFIED,6203,1364461,IMPORTED_AS_CVR_EXPORT,2018-11-15 11:42:52.459
Lincoln,CVR_Export_20181115084459.csv,VERIFIED,2194,529352,IMPORTED_AS_CVR_EXPORT,2018-11-15 11:59:38.538
Gunnison,CVR_Export_20181115112114 7D Fixed.csv,VERIFIED,9775,2491414,IMPORTED_AS_CVR_EXPORT,2018-11-15 12:04:37.492
Eagle,Modified_CVR_Export_20181115113215.csv,VERIFIED,45205,10538748,IMPORTED_AS_CVR_EXPORT,2018-11-15 12:25:40.495
Bent,ModifiedCVR_Export_20181114161007.csv,VERIFIED,1925,443603,IMPORTED_AS_CVR_EXPORT,2018-11-15 12:28:32.297
Grand,Modified_v3_CVR_Export_20181115112653.csv,VERIFIED,15935,3038755,IMPORTED_AS_CVR_EXPORT,2018-11-15 12:54:15.4
Gilpin,Gilpin CVR_Export_20181115103622.csv,VERIFIED,3429,829198,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:10:52.659
Elbert,Modified_CVR_Export_20181115104631.csv,VERIFIED,14838,4165055,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:18:36.147
Broomfield,Modified_CVR_Export_20181115085815.csv,VERIFIED,36678,8433377,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:21:22.76
Moffat,modified_CVR_Export_20181115121534.csv,VERIFIED,10689,1893118,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:22:29.676
Crowley,CVR_ExportMODIFIED_20181115103047.csv,VERIFIED,1430,302097,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:34:09.188
Washington,Modified_CVR_Export_20181115123046.csv,VERIFIED,2464,553184,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:36:27.961
Huerfano,Modified_CVR_Export_20181114132209.csv,VERIFIED,3905,838685,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:43:42.881
Pitkin,Modified_CVR_Export_20181115125007.csv,VERIFIED,19031,4281370,IMPORTED_AS_CVR_EXPORT,2018-11-15 13:44:40.49
Kit Carson,Modified_CVR_Export_20181115132351.csv,VERIFIED,3192,726836,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:01:13.924
Delta,CVR_Export_Delta.csv,VERIFIED,26048,6360042,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:13:58.496
Baca,Modified_CVR_Export_20181115110153.csv,VERIFIED,1962,427798,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:23:56.253
Routt,ModifiedCVR_Export_20181115135124.csv,VERIFIED,26752,6219325,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:37:29.11
Costilla,ModifiedCVRExport.csv,VERIFIED,3463,603285,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:43:47.865
Montrose,Modified_CVR_Export_20181115135253.csv,VERIFIED,19318,4708746,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:45:45.189
Cheyenne,modified cvr expor file.csv,VERIFIED,1031,225488,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:45:48.927
Clear Creek,Modified_CVR_Export_20181115115412.csv,VERIFIED,5527,1265035,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:54:26.727
Montezuma,Modified_CVR_Export_20181115103809.csv,VERIFIED,11922,2883903,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:54:43.355
Denver,Modified_CVR_Export_20181115131354.csv,VERIFIED,907320,228169357,IMPORTED_AS_CVR_EXPORT,2018-11-15 14:55:33.936
Las Animas,ModifiedCVRexport.csv,VERIFIED,6438,1535487,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:04:15.368
San Miguel,Modified_CVR_Export_20181115100243.csv,VERIFIED,10771,2116984,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:04:26.561
Otero,CVR_Export_20181115123503.csv,VERIFIED,7592,1712421,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:08:49.447
La Plata,CVR_Export_20181115151404.csv,VERIFIED,28911,6088839,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:24:35.787
Jefferson,CVR_Export_20181115132138-Modified Headers.csv,VERIFIED,610892,185388241,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:29:43.335
Lake,CVR modified.csv,VERIFIED,2963,696518,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:43:30.502
Larimer,Modified_CVR_Export_20181115150546.csv,VERIFIED,184025,47539502,IMPORTED_AS_CVR_EXPORT,2018-11-15 15:55:19.518
Yuma,CVR_Export_20181115105449.csv,VERIFIED,4213,893009,IMPORTED_AS_CVR_EXPORT,2018-11-15 16:03:56.117
Ouray,Modified_CVR_Export_20181115151304.csv,VERIFIED,3258,745088,IMPORTED_AS_CVR_EXPORT,2018-11-15 16:06:31.417
Conejos,Modified_CVR_Export_20181115120152.csv,VERIFIED,7220,1305088,IMPORTED_AS_CVR_EXPORT,2018-11-15 16:07:30.916
Morgan,Modified_CVR_Export_20181115140639.csv,VERIFIED,10914,2587818,IMPORTED_AS_CVR_EXPORT,2018-11-15 16:23:53.268
Adams,Modified_CVR_Export_20181115142040.csv,VERIFIED,345801,106875871,IMPORTED_AS_CVR_EXPORT,2018-11-15 16:41:46.763
El Paso,ElPaso_CVR_Export_Modified.csv,VERIFIED,556089,154600801,IMPORTED_AS_CVR_EXPORT,2018-11-15 17:07:11.622
Chaffee,CVR_Export_20181115163443Modified.csv,VERIFIED,11646,2832691,IMPORTED_AS_CVR_EXPORT,2018-11-15 17:08:27.313
Summit,Modified CVR Summit County.csv,VERIFIED,19771,4065357,IMPORTED_AS_CVR_EXPORT,2018-11-15 17:15:21.298
Arapahoe,Modified CVR.csv,VERIFIED,532108,154244423,IMPORTED_AS_CVR_EXPORT,2018-11-15 17:18:37.877
Custer,Modified_CVR_Export_20181115_General.csv,VERIFIED,2927,662233,IMPORTED_AS_CVR_EXPORT,2018-11-15 17:39:43.978
Douglas,Douglas CVR.csv,VERIFIED,358529,110005874,IMPORTED_AS_CVR_EXPORT,2018-11-15 18:02:33.461
Teller,Modified_CVR_Export_20181115164859.csv,VERIFIED,13045,3463460,IMPORTED_AS_CVR_EXPORT,2018-11-15 18:11:10.61
Archuleta,CVR_Export_ARCHULETA.csv,VERIFIED,6961,1600502,IMPORTED_AS_CVR_EXPORT,2018-11-15 18:15:37.732
Weld,Weld CVR Export.csv,VERIFIED,250572,101202367,IMPORTED_AS_CVR_EXPORT,2018-11-15 20:10:36.707
Boulder,Modified_CVR_Export_20181115195147.csv,VERIFIED,353497,93650722,IMPORTED_AS_CVR_EXPORT,2018-11-15 22:51:18.09
