contest_name,choice,votes
Cheraw School District 31 School Board Member - At Large,Angie Marie Leake,126
Cheraw School District 31 School Board Member - At Large,Joshua Maurer,117
Cherry Creek School District No. 5 Director - District A,Anne Q. Egan,56277
Cherry Creek School District No. 5 Director - District B,Janice R. Mcdonald,56213
Cherry Creek School District No. 5 Director - District C,Angela Garland,45788
Cherry Creek School District No. 5 Director - District C,Alioune Sogue,14293
Cheyenne County School District RE-5 Ballot Question 4A,No/against,325
Cheyenne County School District RE-5 Ballot Question 4A,Yes/for,257
Cheyenne County School District Re-5 Board Director - 2 year term,Briar Rose Fulton,435
Cheyenne County School District Re-5 Board Director - 4 year term,Brett E. Legg,456
Cheyenne County School District Re-5 Board Director - 4 year term,Christian Paul Tallman,274
City and County of Broomfield Councilmember - Ward 1,Stan V Jezierski,2629
City and County of Broomfield Councilmember - Ward 1,Kim Tavendale,1276
City and County of Broomfield Councilmember - Ward 2,William Lindstedt,1857
City and County of Broomfield Councilmember - Ward 2,Brent Hultman,1023
City and County of Broomfield Councilmember - Ward 3,Jean Lim,2183
City and County of Broomfield Councilmember - Ward 3,Kevin Jacobs,1689
City and County of Broomfield Councilmember - Ward 3,Christopher Cleary,772
City and County of Broomfield Councilmember - Ward 4,Laurie Anderson,3806
City and County of Broomfield Councilmember - Ward 4,Emily Crouse-joo,2811
City and County of Broomfield Councilmember - Ward 5,Heidi Henkel,2413
City and County of Broomfield Councilmember - Ward 5,David Beacom,1637
City and County of Broomfield Mayor,Patrick A Quinn,8275
City and County of Broomfield Mayor,Kimberly Groom,7787
City and County of Broomfield Mayor,Kevin Kreeger,6826
City and County of Denver Referred Question 2A,Yes/for,118619
City and County of Denver Referred Question 2A,No/against,38852
City and County of Denver Referred Question 2B,Yes/for,125369
City and County of Denver Referred Question 2B,No/against,30752
City and County of Denver Referred Question 2C,Yes/for,133765
City and County of Denver Referred Question 2C,No/against,23648
City and County of Denver Referred Question 2D,Yes/for,143833
City and County of Denver Referred Question 2D,No/against,15738
City of Alamosa Councilor - At Large,Kristina Daniel,1182
City of Alamosa Councilor - At Large,Robert Oringdulph,694
City of Alamosa Councilor - Ward 1,Elizabeth (liz) Hensley,398
City of Alamosa Councilor - Ward 3,Charles Griego,323
City of Alamosa Initiated Ballot Question 300,For The Ordinance,1062
City of Alamosa Initiated Ballot Question 300,Against The Ordinance,951
City of Alamosa Referred Ballot Issue 2A,Yes,1154
City of Alamosa Referred Ballot Issue 2A,No,864
City of Arvada Councilmember - At Large,Bob Fifer,21740
City of Arvada Councilmember - At Large,Jeff Cannon,15177
City of Arvada Councilmember - District 2,Lauren C. Simpson,3842
City of Arvada Councilmember - District 2,T.o. Owens,3205
City of Arvada Councilmember - District 2,Ethan J. Lutz,1631
City of Arvada Councilmember - District 4,David Jones,6413
City of Arvada Councilmember - District 4,Jordan Hohenstein,3980
City of Arvada Mayor,Marc Williams,17913
City of Arvada Mayor,Harriet Hall,14946
City of Arvada Mayor,Dave Palm,7026
City of Aspen Ballot Issue 2A,Yes/for,1688
City of Aspen Ballot Issue 2A,No/against,426
City of Aurora Council Member - At Large,Curtis Gardner,26772
City of Aurora Council Member - At Large,Angela Lawson,26594
City of Aurora Council Member - At Large,Johnny Watson,19651
City of Aurora Council Member - At Large,Leanne Denise Wheeler,17926
City of Aurora Council Member - At Large,Martha Lugo,13823
City of Aurora Council Member - At Large,Thomas Mayes,11900
City of Aurora Council Member - At Large,Lea Denise Wheeler,190
City of Aurora Council Member - Ward IV,Juan Marcano,6766
City of Aurora Council Member - Ward IV,"Charles ""charlie"" Richardson",6534
City of Aurora Council Member - Ward V,Alison Coombs,7671
City of Aurora Council Member - Ward V,Bob Roth,7396
City of Aurora Council Member - Ward VI,Francoise Bergan,9371
City of Aurora Council Member - Ward VI,Bryan Lindstrom,7044
City of Aurora Mayor,Omar Montgomery,2253
City of Aurora Mayor,Mike Coffman,1900
City of Aurora Mayor,Ryan L. Frazier,1035
City of Aurora Mayor,Marsha Berzins,633
City of Aurora Mayor,Renie Roberta Peterson,236
City of Aurora Mayor,Tiffany Grays,19
City of Aurora Mayor,Ren Roberta Peterson,13
City of Aurora Mayor,Write-in:,0
City of Aurora Mayor - Arapahoe,Mike Coffman,24790
City of Aurora Mayor - Arapahoe,Omar Montgomery,24222
City of Aurora Mayor - Arapahoe,Ryan L. Frazier,11028
City of Aurora Mayor - Arapahoe,Marsha Berzins,7382
City of Aurora Mayor - Arapahoe,Renie Roberta Peterson,1119
City of Aurora Mayor - Arapahoe,Tiffany Grays,136
City of Boulder Ballot Issue 2G,Yes/for,27159
City of Boulder Ballot Issue 2G,No/against,6930
City of Boulder Ballot Issue 2H,Yes/for,29450
City of Boulder Ballot Issue 2H,No/against,4867
City of Boulder Ballot Issue 2I,Yes/for,23358
City of Boulder Ballot Issue 2I,No/against,10386
City of Boulder Council Candidates,Bob Yates,17508
City of Boulder Council Candidates,Junie Joseph,17322
City of Boulder Council Candidates,Rachel Friend,17230
City of Boulder Council Candidates,Aaron Brockett,15779
City of Boulder Council Candidates,Adam Swetlik,14442
City of Boulder Council Candidates,Mark Wallach,14173
City of Boulder Council Candidates,Mark Mcintyre,13493
City of Boulder Council Candidates,Susan Peterson,12961
City of Boulder Council Candidates,Benita Duran,11576
City of Boulder Council Candidates,Corina Julca,11048
City of Boulder Council Candidates,Brian Dolan,10855
City of Boulder Council Candidates,Nikki Mccord,4207
City of Boulder Council Candidates,Paul Cure,4046
City of Boulder Council Candidates,Andy Celani,2438
City of Boulder Council Candidates,Gala Wilhelmina Orba,1852
City of Brighton Ballot Question 3A,Yes/for,6292
City of Brighton Ballot Question 3A,No/against,2602
City of Brighton Councilmember - Ward 1,Tim Watts,1856
City of Brighton Councilmember - Ward 2,Mary Ellen Pollack,1445
City of Brighton Councilmember - Ward 3,Kris Jordinelli,842
City of Brighton Councilmember - Ward 3,Debra Parmley,704
City of Brighton Councilmember - Ward 4,Christopher Schoeneck,681
City of Brighton Councilmember - Ward 4,Adam Cushing,650
City of Brighton Councilmember - Ward 4,Danny V. Sandoval,519
City of Brighton Councilmember - Ward 4,Vadim B. Epelbaum,260
City of Brighton Councilmember - Ward 4,Archie Demarest,137
City of Brush Councilor - Ward 1,John A. Gotto,230
City of Brush Councilor - Ward 1,Tony Miller,139
City of Brush Councilor - Ward 1,Alison Gorrell,87
City of Brush Councilor - Ward 3,Justin Spradlin,221
City of Canon City Council Member - At-Large,Brandon Smith,2327
City of Canon City Council Member - At-Large,Jim Meisner,1978
City of Canon City Council Member - At-Large,Andrea Stein,1215
City of Canon City Council Member - At-Large,Nicola Hagans,1034
City of Canon City Council Member - At-Large,Erik Embry,1024
City of Canon City Council Member - District No. 2,Mandy Reed,3765
City of Canon City Council Member - District No. 4,Tim Dennehy,2804
City of Canon City Council Member - District No. 4,Ron Bates,1641
City of Canon City Mayor,Ashley Smith,3695
City of Canon City Mayor,Tony Greer,1025
City of Castle Pines City Council - District 1,Deb Metzger Mulvey,630
City of Castle Pines City Council - District 1,Albert Hoffman,415
City of Castle Pines City Council - District 2,Kevin J. Rants,869
City of Castle Pines City Council - District 3,Tracy Engerman,770
City of Centennial Council Member District 1,Candace M. Moon,4801
City of Centennial Council Member District 1,Ron Phelps,4225
City of Centennial Council Member District 2,Christine L. Sweetland,4028
City of Centennial Council Member District 2,Brian D. Beatty,3781
City of Centennial Council Member District 3,Richard Holt,4839
City of Centennial Council Member District 3,Rhonda Livingston,3082
City of Centennial Council Member District 4,Don Sheehan,3512
City of Centennial Council Member District 4,Anna Burr,3135
City of Central Ballot Issue 2A,Yes/for,162
City of Central Ballot Issue 2A,No/against,50
City of Colorado Springs Ballot Issue 2B,Yes/for,67197
City of Colorado Springs Ballot Issue 2B,No/against,49229
City of Colorado Springs Ballot Issue 2C,Yes/for,75635
City of Colorado Springs Ballot Issue 2C,No/against,40552
City of Commerce City Councilmember - At Large,Meghan Grimes,2622
City of Commerce City Councilmember - At Large,Craig Hurst,2359
City of Commerce City Councilmember - At Large,"Luz E. ""lucy"" Molina",2177
City of Commerce City Councilmember - At Large,Ramón Alvarado,1711
City of Commerce City Councilmember - At Large,Roger Japp,1443
City of Commerce City Councilmember - At Large,Anthony Stellato,1021
City of Commerce City Councilmember - At Large,Gene Leffel,890
City of Commerce City Councilmember - At Large,J Gabriel Montanez Jr,849
City of Commerce City Councilmember - Ward II,Jennifer Allen-thomas,643
City of Commerce City Councilmember - Ward II,June Muniz-younger,597
City of Commerce City Councilmember - Ward IV,Susan Noble,1462
City of Commerce City Councilmember - Ward IV,Steve Davis,1315
City of Commerce City Councilmember - Ward IV,John Dupriest,614
City of Commerce City Councilmember - Ward IV,Mike A Flores,396
City of Commerce City Mayor,Benjamin Huseman,3049
City of Commerce City Mayor,Steve Douglas,2136
City of Commerce City Mayor,René Bullock,1828
City of Commerce City Mayor,Maria Gonzalez,1518
City of Commerce City Mayor,Paul D. Solano,877
City of Craig Ballot Measure 2A,Yes,1392
City of Craig Ballot Measure 2A,No,1128
City of Craig Ballot Measure 2B,Yes,1643
City of Craig Ballot Measure 2B,No,896
City of Craig Ballot Measure 2C,Yes,1623
City of Craig Ballot Measure 2C,No,915
City of Craig Ballot Measure 2D,Yes,1580
City of Craig Ballot Measure 2D,No,893
City of Cripple Creek Ballot Question 2A,No/against,203
City of Cripple Creek Ballot Question 2A,Yes/for,127
City of Cripple Creek Ballot Question 2B,Yes/for,200
City of Cripple Creek Ballot Question 2B,No/against,132
City of Cripple Creek Ballot Question 2C,Yes/for,258
City of Cripple Creek Ballot Question 2C,No/against,85
City of Cripple Creek Council - Ward 4,Thomas L. Litherland,88
City of Cripple Creek Council - Ward 4,Nancy Mcdonald,68
City of Cripple Creek Council - Ward 5,Charles Solomone,123
City of Cripple Creek Mayor,Milford Ashworth,190
City of Cripple Creek Mayor,Meghan Rozell,141
City of Dacono Council Members,Danny G. Long,510
City of Dacono Council Members,Derrick N. Worden,467
City of Dacono Council Members,Don Clark,263
City of Delta Referred Measure 2A,Yes/for,1330
City of Delta Referred Measure 2A,No/against,1000
City of Edgewater Ballot Question 2D,Yes/for,1025
City of Edgewater Ballot Question 2D,No/against,183
City of Edgewater Council Member,Micha Rosenoer,880
City of Edgewater Council Member,Cory Reid-vanas,794
City of Edgewater Council Member,Casey Earp,734
City of Edgewater Council Member,Steve Conklin,708
City of Edgewater Council Member,Larry Welshon,364
City of Edgewater Mayor,Laura Keegan,971
City of Edgewater Mayor,Virgie Carr,184
City of Englewood Office of Council Member - At Large,Rita Russell,4925
City of Englewood Office of Council Member - At Large,John Stone,4234
City of Englewood Office of Council Member - At Large,Steven Ward,2836
City of Englewood Office of Council Member District 1,Othoniel Sierra,1039
City of Englewood Office of Council Member District 1,Monica Johnson,439
City of Englewood Office of Council Member District 1,Bobby Jennings,354
City of Englewood Office of Council Member District 3,Joe Anderson,1630
City of Englewood Office of Council Member District 3,Laurett Barrentine,701
City of Federal Heights Council Member - Ward One,Celeste Arner,194
City of Federal Heights Council Member - Ward One,Eric Jeremy Hauch,160
City of Federal Heights Council Member - Ward One,Timothy W. Galey,104
City of Federal Heights Council Member - Ward Three,Elaine Sweeney,361
City of Federal Heights Council Member - Ward Two - 2 Year Term,Doris Peterson,489
City of Federal Heights Council Member - Ward Two - 4 Year Term,Bonnie Sellers,317
City of Federal Heights Council Member - Ward Two - 4 Year Term,Kevin L. Dougherty,244
City of Federal Heights Mayor,Linda S. Montoya,554
City of Federal Heights Mayor,Mark J. Stickel,389
City of Federal Heights Mayor,"Tom ""batman"" Ziegelbauer",340
City of Federal Heights Mayor,Harold Thomas,212
City of Florence Council Member - Ward One,Kristal Wood,198
City of Florence Council Member - Ward One,Anthony R. Esquibel,147
City of Florence Council Member - Ward One,John Cobler,124
City of Florence Council Member - Ward Three,Mike Vendetti,274
City of Florence Council Member - Ward Two,Brian Allen,242
City of Florence Mayor,Dick Upton,704
City of Florence Mayor,Morrie A. Aves,299
City of Fort Lupton Ballot Issue 2B,Yes/for,820
City of Fort Lupton Ballot Issue 2B,No/against,692
City of Fort Lupton Ballot Issue 2C,No/against,1039
City of Fort Lupton Ballot Issue 2C,Yes/for,469
City of Fort Lupton Ballot Issue 2D,No/against,1042
City of Fort Lupton Ballot Issue 2D,Yes/for,452
City of Fort Lupton Councilmember - Ward I,David Crespin,180
City of Fort Lupton Councilmember - Ward I,David Chas Blackston,120
City of Fort Lupton Councilmember - Ward II,Chris Ceretto,482
City of Fort Lupton Councilmember - Ward II,Vaunold Dee Denny,119
City of Fort Morgan Councilmember - Ward 1,Brian Urdiales,663
City of Fort Morgan Councilmember - Ward 2,"James ""clint"" Anderson",513
City of Fort Morgan Councilmember - Ward 3,Lyn Deal,639
City of Fort Morgan Councilmember - Ward 3,Marla Stumpf,373
City of Fort Morgan Mayor,Ronald Shaver,2090
City of Fountain Ballot Issue 2A,No/against,2557
City of Fountain Ballot Issue 2A,Yes/for,1887
City of Fountain Council Member - At Large,Richard Applegate,1650
City of Fountain Council Member - At Large,Detra Duncan,1544
City of Fountain Council Member - At Large,Fran Carrick,1455
City of Fountain Council Member - At Large,Gordon G. Rick,1339
City of Fountain Councilmember - Ward 2,Tamara Estes,846
City of Fountain Councilmember - Ward 2,Darrell R. Couch,778
City of Glendale Ballot Question 2A,No/against,389
City of Glendale Ballot Question 2A,Yes/for,184
City of Glendale Ballot Question 2B,No/against,300
City of Glendale Ballot Question 2B,Yes/for,219
City of Glenwood Springs Ballot Issue 2A,Yes/for,1488
City of Glenwood Springs Ballot Issue 2A,No/against,949
City of Golden Council - District 1,Jj Trout,1732
City of Golden Council - District 1,Kim Brock,1270
City of Golden Council - District 2,Casey L. Brown,2912
City of Golden Council Mayor,Laura Weinberg,3361
City of Golden Council Mayor,Don Cameron,3135
City of Grand Junction Ballot Question 2B,Yes/for,10564
City of Grand Junction Ballot Question 2B,No/against,7448
City of Grand Junction Referred Measure 2A,Yes/for,10372
City of Grand Junction Referred Measure 2A,No/against,8615
City of Greeley Councilmember -  At-Large,Ed Clark,8989
City of Greeley Councilmember -  At-Large,Kristin Zasada,8023
City of Greeley Councilmember -  At-Large,Stacy Suniga,8008
City of Greeley Councilmember -  At-Large,Joseph Bodine,3979
City of Greeley Councilmember -  At-Large,Edward Mirick,3159
City of Greeley Councilmember -  At-Large,Patrick Wardell,1896
City of Greeley Councilmember -  At-Large,Ronny Lopez,1269
City of Greeley Councilmember -  Ward I,Tommy Butler,1806
City of Greeley Councilmember -  Ward I,Blythe Driver,1246
City of Greeley Councilmember -  Ward IV,Dale Hall,4082
City of Greeley Councilmember -  Ward IV,Michael Whitcomb,1884
City of Greeley Councilmember -  Ward IV,James Roohr,742
City of Greeley Mayor,John Gates,16347
City of Greeley Mayor,John Shull,4248
City of Greenwood Village Ballot Question 2C,Yes/for,4030
City of Greenwood Village Ballot Question 2C,No/against,1103
City of Greenwood Village Councilmember District 1,Dave Bullock,1175
City of Greenwood Village Councilmember District 1,Jerry Presley,1084
City of Greenwood Village Councilmember District 2,Anne Ingebretsen,707
City of Greenwood Village Councilmember District 2,Dave Kerber,676
City of Greenwood Village Councilmember District 2,Jill Burbary,315
City of Greenwood Village Councilmember District 3,Libby Barnacle,960
City of Greenwood Village Councilmember District 3,Donna Johnston,641
City of Greenwood Village Councilmember District 3,Brian Strandes,605
City of Greenwood Village Councilmember District 3,Mark Wilson,159
City of Greenwood Village Councilmember District 4,Thomas J. Dougherty,801
City of Greenwood Village Councilmember District 4,Judith M. Hilton,755
City of Greenwood Village Mayor,George Lantz,4301
City of Gunnison City Council,Mallory Logan,1109
City of Gunnison City Council,Diego Plata,776
City of Gunnison City Council,Boe Freeburn,693
City of Gunnison City Council,Steven C. Schechter,555
City of Gunnison City Council,Joshua Ventimiglia Lambert,336
City of Holyoke Ballot Question 2A,Yes/for,475
City of Holyoke Ballot Question 2A,No/against,138
City of Idaho Springs City Council - Ward I,Jim Clark,220
City of Idaho Springs City Council - Ward I,Arthur Caccavale,147
City of Idaho Springs City Council - Ward I,Tracy Stokes,96
City of Idaho Springs City Council - Ward II,Andrew A. Yard,108
City of Idaho Springs City Council - Ward II,John Curtis,107
City of Idaho Springs City Council - Ward II,Charles L. Harmon,102
City of Lafayette Ballot Question 2A,Yes/for,7208
City of Lafayette Ballot Question 2A,No/against,1595
City of Lafayette Ballot Question 2B,Yes/for,7192
City of Lafayette Ballot Question 2B,No/against,1877
City of Lafayette Ballot Question 2C,Yes/for,6906
City of Lafayette Ballot Question 2C,No/against,1752
City of Lafayette Council Candidates,Jd Mangat,5839
City of Lafayette Council Candidates,Stephanie Walton,4576
City of Lafayette Council Candidates,Timothy Barnes,4426
City of Lafayette Council Candidates,Brian Wong,3624
City of Lafayette Council Candidates,Tonya Briggs,3403
City of Lafayette Council Candidates,Jenna Tullberg,3242
City of Lafayette Council Candidates,Nicole Samson,2933
City of Lafayette Council Candidates,Doug Conarroe,2485
City of Lafayette Council Candidates,Patricia Townsend,1885
City of Lafayette Council Candidates,Anne Borrell,1809
City of Lafayette Council Candidates,Andrew J. O'connor,1099
City of Lafayette Council Candidates,Marty Feffer,1043
City of Lafayette Council Candidates,Clifton Smedley,672
City of Lafayette Council Candidates,Katherine Huth,482
City of Lakewood Ballot Question 2F,No/against,25744
City of Lakewood Ballot Question 2F,Yes/for,19385
City of Lakewood Ballot Question 2G,Yes/for,22203
City of Lakewood Ballot Question 2G,No/against,21710
City of Lakewood Council - Ward 1,Charley Able,4381
City of Lakewood Council - Ward 1,Kyra Degruy,4316
City of Lakewood Council - Ward 2,Sharon A. Vincent,4743
City of Lakewood Council - Ward 3,Anita Springsteen,4595
City of Lakewood Council - Ward 3,Henry Hollender,3519
City of Lakewood Council - Ward 4,Barb Franks,7594
City of Lakewood Council - Ward 4,Christopher Arlen,3585
City of Lakewood Council - Ward 5,Dana Gutwein,5557
City of Lakewood Council - Ward 5,Chad Gardner,3076
City of Lakewood Mayor,Adam A. Paul,24274
City of Lakewood Mayor,Ramey Johnson,20086
City of Lamar Councilman - Ward 1,Anne-marie Crampton,626
City of Lamar Councilman - Ward 2,Gerry Jenkins,385
City of Lamar Councilman - Ward 3,Rafael Rodriguez,395
City of Lamar Mayor - At Large,Kirk Crespin,1052
City of Lamar Mayor - At Large,Beverly Haggard,700
City of Las Animas Ballot Issue 2A,Yes/for,500
City of Las Animas Ballot Issue 2A,No/against,212
City of Las Animas City Clerk & Treasurer,Charmaine D. Tripp,632
City of Las Animas City Council - Ward 1 - Precinct 10,"Robert ""sonny"" Smith",182
City of Las Animas City Council - Ward 1 - Precinct 10,Rose Prichard,68
City of Las Animas City Council - Ward 2 - Precinct 9,Jaxon Meardon,85
City of Las Animas City Council - Ward 2 - Precinct 9,Terry R. Kim,85
City of Las Animas City Council - Ward 3 - Precinct 8,Cassandra Torres-siefkas,172
City of Las Animas City Council - Ward 3 - Precinct 8,Kimberlie D. King,81
City of Las Animas Light & Power Board,Roberto Montoya,450
City of Las Animas Light & Power Board,William Deal,438
City of Las Animas Mayor,Jim Collins,559
City of Las Animas Mayor,Louella Maria Cruz,97
City of Las Animas Mayor,Kirby Ladner,46
City of Littleton Council Member - At Large,Pam Grove,5977
City of Littleton Council Member - At Large,Scott Melin,5762
City of Littleton Council Member - At Large,Kyle Schlachter,5427
City of Littleton Council Member - At Large,Bill Schwanitz,4294
City of Littleton Council Member - At Large,Jessica Mendes Ford,2028
City of Littleton Council Member - District II,Jerry Valdes,900
City of Littleton Council Member - District II,Kate Eckel,750
City of Littleton Council Member - District II,Jane Ozga,415
City of Littleton Council Member - District IV,Kelly Milliman,2062
City of Littleton Council Member - District IV,Iftin Abshir,1845
City of Longmont Ballot Issue 3B,No/against,19471
City of Longmont Ballot Issue 3B,Yes/for,11535
City of Longmont Ballot Issue 3C,Yes/for,19971
City of Longmont Ballot Issue 3C,No/against,11012
City of Longmont Ballot Question 3D,No/against,16010
City of Longmont Ballot Question 3D,Yes/for,13348
City of Longmont Ballot Question 3E,Yes/for,20469
City of Longmont Ballot Question 3E,No/against,6643
City of Longmont Council Member - At Large,Joan Peck,13314
City of Longmont Council Member - At Large,Jeff Moore,5677
City of Longmont Council Member - At Large,Matthew Garrett,4849
City of Longmont Council Member - At Large,Ron Gallegos,4526
City of Longmont Council Member - Ward 1,Tim Waters,7342
City of Longmont Council Member - Ward 3,Susie Hidalgo-fahring,5009
City of Longmont Council Member - Ward 3,Regan Sample,4122
City of Longmont Mayor,Brian J. Bagley,22929
City of Longmont Mayor,Schuyler Trowbridge,6258
City of Louisville Ballot Issue 2D,Yes/for,6453
City of Louisville Ballot Issue 2D,No/against,2814
